Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
533,2,3,0,3,1,3,2
534,2,3,0,3,1,3,2
535,2,3,0,3,1,3,2
536,2,3,0,3,1,3,2
537,2,3,0,3,1,3,2
538,2,3,0,3,1,3,2
539,2,3,0,3,1,3,2
540,2,3,0,3,1,3,2
541,0,3,0,3,1,0,2
542,0,3,0,3,1,0,2
543,0,3,0,3,1,0,2
544,0,3,0,3,1,0,2
545,0,3,0,3,1,0,2
546,0,3,0,3,1,0,2
547,0,3,0,3,1,0,2
548,0,3,0,3,1,0,2
549,0,3,0,3,1,0,2
550,0,3,0,3,1,3,2
551,0,3,0,3,1,5,2
552,2,3,0,3,1,3,2
553,0,3,0,3,1,0,2
554,0,3,0,3,1,0,2
555,0,3,0,3,1,5,2
556,0,3,0,3,1,0,2
557,2,3,2,3,1,5,2
558,1,3,0,3,1,3,2
559,1,3,2,3,1,0,2
560,1,0,0,2,1,0,2
561,1,3,0,2,1,0,2
562,1,3,0,2,1,3,2
563,1,3,0,2,1,3,2
564,1,3,0,2,1,3,2
565,1,3,2,3,1,3,2
566,1,0,2,3,1,0,2
567,2,3,2,3,1,3,2
568,2,3,2,3,1,3,2
569,1,0,2,3,0,0,2
570,1,3,2,3,1,0,2
571,1,0,2,3,1,0,2
572,1,0,2,3,0,0,2
573,1,0,2,3,0,0,2
574,1,0,2,3,0,0,2
575,1,0,2,3,0,0,2
576,1,0,2,3,0,0,2
577,1,0,2,3,1,0,2
578,1,1,2,3,1,0,2
579,1,1,2,3,1,0,2
580,1,0,2,3,0,0,0
581,1,0,2,3,0,0,0
582,1,1,2,3,1,0,2
583,1,1,2,3,1,0,2
584,1,0,2,3,0,0,2
585,1,0,2,3,0,0,2
586,1,1,2,3,1,0,2
587,1,0,2,3,1,0,2
588,1,0,2,3,0,0,2
589,1,0,2,3,0,0,2
590,1,0,2,3,0,0,2
591,1,0,2,3,0,0,2
592,1,0,2,3,0,0,2
593,1,0,2,3,0,0,2
594,1,0,2,3,0,0,2
595,1,0,2,3,0,0,2
596,1,0,2,3,0,0,2
597,1,0,2,3,0,0,2
598,1,0,2,3,0,0,2
599,1,0,2,3,0,0,2
600,1,0,2,3,0,0,2
601,1,0,2,3,0,0,2
602,1,0,2,3,0,0,2
603,1,0,2,3,0,0,2
604,1,0,2,3,0,0,0
605,1,3,2,3,1,0,2
606,1,0,2,3,0,0,2
607,1,0,2,3,0,0,2
608,1,0,2,3,0,0,2
609,1,0,2,3,0,0,2
610,1,0,2,3,0,0,2
611,1,3,2,3,1,0,2
612,1,1,2,3,0,0,2
613,1,0,2,3,0,0,2
614,1,3,2,3,1,0,2
615,1,0,2,3,0,0,2
616,1,0,2,3,0,0,2
617,1,3,2,3,1,0,2
618,1,0,2,3,0,0,2
619,1,0,2,3,0,0,2
620,1,3,2,3,1,0,2
621,1,0,2,3,0,0,2
622,1,0,2,3,0,0,2
623,1,0,2,3,0,0,2
624,1,0,2,3,0,0,2
625,1,0,2,3,0,0,2
626,1,0,2,3,0,0,2
627,1,0,2,3,0,0,2
628,1,0,2,3,0,0,2
629,1,0,2,3,0,0,2
630,1,0,2,3,0,0,2
631,1,0,2,3,0,0,0
632,1,0,2,3,0,0,2
633,1,0,2,3,0,0,2
634,1,0,2,3,0,0,2
635,1,0,2,3,0,0,2
636,1,0,2,3,0,0,2
637,0,3,0,3,1,0,2
638,0,3,0,3,1,0,2
639,0,3,0,3,1,0,2
640,0,3,0,3,1,0,2
641,0,3,0,3,1,0,2
642,0,3,0,3,1,0,2
643,0,3,0,3,1,0,2
644,0,3,0,3,1,0,2
645,0,3,0,3,1,0,2
646,0,3,0,3,1,0,2
647,0,3,0,3,1,0,2
648,0,3,0,4,1,0,2
649,0,3,0,4,1,0,2
650,1,3,2,3,1,0,2
651,0,3,0,3,1,0,2
652,1,3,0,3,1,3,2
653,0,3,0,3,1,0,2
654,0,3,0,3,1,0,2
655,1,0,2,2,1,0,0
656,1,0,0,2,1,0,0
657,1,0,0,2,1,0,3
658,1,0,0,2,1,3,3
659,1,3,0,2,1,3,3
660,1,3,0,2,1,3,3
661,0,0,0,2,0,0,0
662,0,0,0,2,0,0,0
663,0,0,0,2,0,0,0
664,0,0,0,2,0,0,0
665,0,0,0,2,0,0,0
666,0,0,0,2,0,0,0
667,0,2,0,2,0,0,0
668,0,0,0,2,0,0,0
669,0,0,0,2,0,0,0
670,0,0,0,2,1,0,0
671,0,0,0,2,0,0,0
672,0,0,0,2,0,0,0
673,0,0,0,2,0,0,0
674,0,0,0,2,0,0,0
675,0,0,0,2,0,0,0
676,1,2,2,2,1,3,3
677,1,2,2,2,0,3,2
678,1,2,2,2,0,3,2
679,1,2,2,2,1,3,3
680,1,2,2,2,1,3,2
681,1,2,2,2,0,3,2
682,1,2,2,2,0,3,2
683,1,2,2,2,0,3,3
684,1,2,2,2,0,3,3
685,1,2,2,2,0,3,2
686,1,2,2,2,0,3,3
687,0,0,0,2,0,0,0
688,1,2,2,2,0,3,3
689,1,2,2,2,0,3,3
690,1,2,2,2,0,3,3
691,0,0,0,2,0,0,0
692,0,0,0,2,0,0,0
693,0,0,0,2,0,0,0
694,0,0,0,2,0,0,0
695,0,0,0,2,0,0,0
696,0,0,0,2,0,0,0
697,1,2,2,2,0,3,2
698,0,0,0,2,0,0,0
699,0,0,0,2,0,0,0
700,0,0,0,2,0,0,0
701,0,0,0,2,0,0,0
702,0,0,0,2,0,0,0
703,0,0,0,2,0,0,0
704,0,0,0,2,0,0,0
705,0,0,0,2,0,0,0
